,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
6609,1.14154E+18,24/7 Rentals,573923561,Pierrie,Not Available,Rogers Park,42.0192394,-87.6695237,Entire home/apt,0,2,0,Not Available,Not Available,1,0,0
6610,1.1422E+18,Private ensuite bedroom and bathroom,573184863,Ashley,Not Available,Lake View,41.9449721,-87.6491738,Private room,106,1,0,Not Available,Not Available,6,27,0
6611,1.14228E+18,Logan Square Hotel Room 310,565344683,Flora,Not Available,Logan Square,41.91692427,-87.69639713,Private room,60,32,2,8/4/2024,0.23,29,159,2
6612,1.14234E+18,GRAND Modern Retreat w/ large patio + garage,212313279,Nicole And Matt,Not Available,West Town,41.90851989,-87.6688917,Entire home/apt,403,2,37,3/2/2025,3.64,18,205,37
6613,1.14285E+18,"Landing | Spectacular 1BD, Gym",263502162,Landing,Not Available,Near North Side,41.89889,-87.63844,Entire home/apt,108,32,0,Not Available,Not Available,26,261,0
6614,1.14285E+18,"Landing | Stunning 1BD, Gym",263502162,Landing,Not Available,Near North Side,41.8984724,-87.63838282,Entire home/apt,112,32,0,Not Available,Not Available,26,1,0
6615,1.14285E+18,"Landing | Spectacular Studio, Gym",263502162,Landing,Not Available,Near North Side,41.8968386,-87.63683616,Entire home/apt,99,32,0,Not Available,Not Available,26,0,0
6616,1.14285E+18,"Landing | Modern 1BD, Gym",263502162,Landing,Not Available,Near North Side,41.8968684,-87.63649424,Entire home/apt,103,32,0,Not Available,Not Available,26,289,0
6617,1.14285E+18,"Landing | Amazing 1BD, Gym",263502162,Landing,Not Available,Near North Side,41.89865,-87.6368,Entire home/apt,114,32,0,Not Available,Not Available,26,283,0
6618,1.1431E+18,Sweet Home Chicago,77568275,Sarah,Not Available,Lincoln Square,41.9766271,-87.6934595,Entire home/apt,179,32,2,8/2/2024,0.23,1,193,2
6619,1.14341E+18,Chicago Studio Apartment Jefferson Park Zen Garden,574360183,John,Not Available,Jefferson Park,41.9707354,-87.767243,Entire home/apt,0,32,0,Not Available,Not Available,1,72,0
6620,1.14341E+18,Art-centric stay in lively River North,570424635,C Museum Hotel Chicago,Not Available,Near North Side,41.8931,-87.6256,Private room,169,1,29,1/1/2025,2.83,1,51,29
6621,1.14343E+18,Double Room Near Hot Chi Chicken Revival Food Hall CHI,446820235,LuxurybookingsFZE,Not Available,Loop,41.88029,-87.63019,Entire home/apt,227,32,0,Not Available,Not Available,123,363,0
6622,1.14343E+18,5 Mi to Dtwn Chicago: Newly Built Condo,456513928,Evolve,Not Available,Grand Boulevard,41.81124898,-87.61046849,Entire home/apt,188,2,10,2/17/2025,1.14,14,312,10
6623,1.14348E+18,"North Center Apartment, Walker's Paradise",118422921,Adelina,Not Available,North Center,41.9543823,-87.6777459,Entire home/apt,166,1,33,3/8/2025,3.2,1,139,33
6624,1.14358E+18,"Landing | Amazing 1BD, Pool, Gym",263502162,Landing,Not Available,Logan Square,41.92589937,-87.70436937,Entire home/apt,102,32,0,Not Available,Not Available,26,34,0
6625,1.14358E+18,"Landing | Incredible Studio, Gym, Pool",263502162,Landing,Not Available,Logan Square,41.92661624,-87.70449394,Entire home/apt,70,32,0,Not Available,Not Available,26,361,0
6626,1.14358E+18,"Landing | Amazing Studio, Pool, Gym",263502162,Landing,Not Available,Logan Square,41.92709,-87.70457,Entire home/apt,73,32,0,Not Available,Not Available,26,361,0
6627,1.14367E+18,Windy City Retreat - Private Room,16303051,Jennifer,Not Available,West Town,41.89132927,-87.67848812,Private room,50,32,2,12/8/2024,0.28,6,220,2
6628,1.14406E+18,Peaceful and cozy studio.,418337049,Ms,Not Available,South Shore,41.76627,-87.56859,Entire home/apt,69,32,0,Not Available,Not Available,11,270,0
6629,1.14445E+18,Relaxing Accommodation Near The Chicago Riverwalk!,501999514,RoomPicks,Not Available,Loop,41.88431,-87.63348,Hotel room,244,1,0,Not Available,Not Available,39,1,0
